file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,1,css,a87e8c0b,Jacquelyn Garcia,2025-04-11,21:36:16,-07:00,2025-04-11T21:36:16-07:00,0,23
style.css,2,css,a87e8c0b,Jacquelyn Garcia,2025-04-11,21:36:16,-07:00,2025-04-11T21:36:16-07:00,0,5
style.css,3,css,a87e8c0b,Jacquelyn Garcia,2025-04-11,21:36:16,-07:00,2025-04-11T21:36:16-07:00,0,32
style.css,4,css,a87e8c0b,Jacquelyn Garcia,2025-04-11,21:36:16,-07:00,2025-04-11T21:36:16-07:00,0,33
style.css,5,css,a2ab5977,Jacquelyn Garcia,2025-04-18,20:05:20,-07:00,2025-04-18T20:05:20-07:00,0,24
style.css,6,css,a2ab5977,Jacquelyn Garcia,2025-04-18,20:05:20,-07:00,2025-04-18T20:05:20-07:00,0,24
style.css,7,css,a2ab5977,Jacquelyn Garcia,2025-04-18,20:05:20,-07:00,2025-04-18T20:05:20-07:00,0,17
style.css,8,css,a87e8c0b,Jacquelyn Garcia,2025-04-11,21:36:16,-07:00,2025-04-11T21:36:16-07:00,0,0
style.css,9,css,a87e8c0b,Jacquelyn Garcia,2025-04-11,21:36:16,-07:00,2025-04-11T21:36:16-07:00,0,0
style.css,10,css,a63f43a5,Jacquelyn Garcia,2025-04-03,18:00:29,-07:00,2025-04-03T18:00:29-07:00,0,5
style.css,11,css,a63f43a5,Jacquelyn Garcia,2025-04-03,18:00:29,-07:00,2025-04-03T18:00:29-07:00,0,44
style.css,12,css,a63f43a5,Jacquelyn Garcia,2025-04-03,18:00:29,-07:00,2025-04-03T18:00:29-07:00,0,43
style.css,13,css,a63f43a5,Jacquelyn Garcia,2025-04-03,18:00:29,-07:00,2025-04-03T18:00:29-07:00,0,1
style.css,14,css,a63f43a5,Jacquelyn Garcia,2025-04-03,18:00:29,-07:00,2025-04-03T18:00:29-07:00,0,24
style.css,15,css,706396a6,Jacquelyn Garcia,2025-04-11,20:52:14,-07:00,2025-04-11T20:52:14-07:00,0,0
style.css,16,css,706396a6,Jacquelyn Garcia,2025-04-11,20:52:14,-07:00,2025-04-11T20:52:14-07:00,0,53
style.css,17,css,706396a6,Jacquelyn Garcia,2025-04-11,20:52:14,-07:00,2025-04-11T20:52:14-07:00,0,16
style.css,18,css,706396a6,Jacquelyn Garcia,2025-04-11,20:52:14,-07:00,2025-04-11T20:52:14-07:00,0,0
style.css,19,css,706396a6,Jacquelyn Garcia,2025-04-11,20:52:14,-07:00,2025-04-11T20:52:14-07:00,0,20
style.css,20,css,706396a6,Jacquelyn Garcia,2025-04-11,20:52:14,-07:00,2025-04-11T20:52:14-07:00,0,19
style.css,21,css,706396a6,Jacquelyn Garcia,2025-04-11,20:52:14,-07:00,2025-04-11T20:52:14-07:00,0,0
style.css,22,css,706396a6,Jacquelyn Garcia,2025-04-11,20:52:14,-07:00,2025-04-11T20:52:14-07:00,0,45
style.css,23,css,706396a6,Jacquelyn Garcia,2025-04-11,20:52:14,-07:00,2025-04-11T20:52:14-07:00,0,19
style.css,24,css,0e8dfba2,Jacquelyn Garcia,2025-04-11,22:14:33,-07:00,2025-04-11T22:14:33-07:00,0,0
style.css,25,css,a87e8c0b,Jacquelyn Garcia,2025-04-11,21:36:16,-07:00,2025-04-11T21:36:16-07:00,0,0
style.css,26,css,0e8dfba2,Jacquelyn Garcia,2025-04-11,22:14:33,-07:00,2025-04-11T22:14:33-07:00,0,28
style.css,27,css,0e8dfba2,Jacquelyn Garcia,2025-04-11,22:14:33,-07:00,2025-04-11T22:14:33-07:00,0,3
style.css,28,css,0e8dfba2,Jacquelyn Garcia,2025-04-11,22:14:33,-07:00,2025-04-11T22:14:33-07:00,0,15
style.css,29,css,0e8dfba2,Jacquelyn Garcia,2025-04-11,22:14:33,-07:00,2025-04-11T22:14:33-07:00,0,0
style.css,30,css,0e8dfba2,Jacquelyn Garcia,2025-04-11,22:14:33,-07:00,2025-04-11T22:14:33-07:00,0,0
style.css,31,css,0e8dfba2,Jacquelyn Garcia,2025-04-11,22:14:33,-07:00,2025-04-11T22:14:33-07:00,0,23
style.css,32,css,0e8dfba2,Jacquelyn Garcia,2025-04-11,22:14:33,-07:00,2025-04-11T22:14:33-07:00,0,16
style.css,33,css,0e8dfba2,Jacquelyn Garcia,2025-04-11,22:14:33,-07:00,2025-04-11T22:14:33-07:00,0,18
style.css,34,css,0e8dfba2,Jacquelyn Garcia,2025-04-11,22:14:33,-07:00,2025-04-11T22:14:33-07:00,0,0
style.css,35,css,0e8dfba2,Jacquelyn Garcia,2025-04-11,22:14:33,-07:00,2025-04-11T22:14:33-07:00,0,0
style.css,36,css,0e8dfba2,Jacquelyn Garcia,2025-04-11,22:14:33,-07:00,2025-04-11T22:14:33-07:00,0,4
style.css,37,css,0e8dfba2,Jacquelyn Garcia,2025-04-11,22:14:33,-07:00,2025-04-11T22:14:33-07:00,0,13
style.css,38,css,0e8dfba2,Jacquelyn Garcia,2025-04-11,22:14:33,-07:00,2025-04-11T22:14:33-07:00,0,20
style.css,39,css,a2ab5977,Jacquelyn Garcia,2025-04-18,20:05:20,-07:00,2025-04-18T20:05:20-07:00,0,40
style.css,40,css,a2ab5977,Jacquelyn Garcia,2025-04-18,20:05:20,-07:00,2025-04-18T20:05:20-07:00,0,44
style.css,41,css,0e8dfba2,Jacquelyn Garcia,2025-04-11,22:14:33,-07:00,2025-04-11T22:14:33-07:00,0,0
style.css,42,css,a87e8c0b,Jacquelyn Garcia,2025-04-11,21:36:16,-07:00,2025-04-11T21:36:16-07:00,0,0
style.css,43,css,a87e8c0b,Jacquelyn Garcia,2025-04-11,21:36:16,-07:00,2025-04-11T21:36:16-07:00,0,57
style.css,44,css,a87e8c0b,Jacquelyn Garcia,2025-04-11,21:36:16,-07:00,2025-04-11T21:36:16-07:00,0,6
style.css,45,css,a87e8c0b,Jacquelyn Garcia,2025-04-11,21:36:16,-07:00,2025-04-11T21:36:16-07:00,0,7
style.css,46,css,a87e8c0b,Jacquelyn Garcia,2025-04-11,21:36:16,-07:00,2025-04-11T21:36:16-07:00,0,18
style.css,47,css,a87e8c0b,Jacquelyn Garcia,2025-04-11,21:36:16,-07:00,2025-04-11T21:36:16-07:00,0,14
style.css,48,css,a87e8c0b,Jacquelyn Garcia,2025-04-11,21:36:16,-07:00,2025-04-11T21:36:16-07:00,0,21
style.css,49,css,a87e8c0b,Jacquelyn Garcia,2025-04-11,21:36:16,-07:00,2025-04-11T21:36:16-07:00,0,14
style.css,50,css,a87e8c0b,Jacquelyn Garcia,2025-04-11,21:36:16,-07:00,2025-04-11T21:36:16-07:00,0,34
style.css,51,css,a87e8c0b,Jacquelyn Garcia,2025-04-11,21:36:16,-07:00,2025-04-11T21:36:16-07:00,0,0
style.css,52,css,a87e8c0b,Jacquelyn Garcia,2025-04-11,21:36:16,-07:00,2025-04-11T21:36:16-07:00,0,0
style.css,53,css,a87e8c0b,Jacquelyn Garcia,2025-04-11,21:36:16,-07:00,2025-04-11T21:36:16-07:00,0,14
style.css,54,css,a2ab5977,Jacquelyn Garcia,2025-04-18,20:05:20,-07:00,2025-04-18T20:05:20-07:00,0,46
style.css,55,css,a87e8c0b,Jacquelyn Garcia,2025-04-11,21:36:16,-07:00,2025-04-11T21:36:16-07:00,0,21
style.css,56,css,a87e8c0b,Jacquelyn Garcia,2025-04-11,21:36:16,-07:00,2025-04-11T21:36:16-07:00,0,0
style.css,57,css,a87e8c0b,Jacquelyn Garcia,2025-04-11,21:36:16,-07:00,2025-04-11T21:36:16-07:00,0,0
style.css,58,css,a87e8c0b,Jacquelyn Garcia,2025-04-11,21:36:16,-07:00,2025-04-11T21:36:16-07:00,0,12
style.css,59,css,a87e8c0b,Jacquelyn Garcia,2025-04-11,21:36:16,-07:00,2025-04-11T21:36:16-07:00,0,46
style.css,60,css,a2ab5977,Jacquelyn Garcia,2025-04-18,20:05:20,-07:00,2025-04-18T20:05:20-07:00,0,70
style.css,61,css,3cc5b37a,Jacquelyn Garcia,2025-04-11,21:54:46,-07:00,2025-04-11T21:54:46-07:00,0,0
style.css,62,css,3cc5b37a,Jacquelyn Garcia,2025-04-11,21:54:46,-07:00,2025-04-11T21:54:46-07:00,0,0
style.css,63,css,3cc5b37a,Jacquelyn Garcia,2025-04-11,21:54:46,-07:00,2025-04-11T21:54:46-07:00,0,31
style.css,64,css,3cc5b37a,Jacquelyn Garcia,2025-04-11,21:54:46,-07:00,2025-04-11T21:54:46-07:00,0,5
style.css,65,css,3cc5b37a,Jacquelyn Garcia,2025-04-11,21:54:46,-07:00,2025-04-11T21:54:46-07:00,0,13
style.css,66,css,3cc5b37a,Jacquelyn Garcia,2025-04-11,21:54:46,-07:00,2025-04-11T21:54:46-07:00,0,31
style.css,67,css,3cc5b37a,Jacquelyn Garcia,2025-04-11,21:54:46,-07:00,2025-04-11T21:54:46-07:00,0,8
style.css,68,css,3cc5b37a,Jacquelyn Garcia,2025-04-11,21:54:46,-07:00,2025-04-11T21:54:46-07:00,0,15
style.css,69,css,3cc5b37a,Jacquelyn Garcia,2025-04-11,21:54:46,-07:00,2025-04-11T21:54:46-07:00,0,19
style.css,70,css,3cc5b37a,Jacquelyn Garcia,2025-04-11,21:54:46,-07:00,2025-04-11T21:54:46-07:00,0,13
style.css,71,css,3cc5b37a,Jacquelyn Garcia,2025-04-11,21:54:46,-07:00,2025-04-11T21:54:46-07:00,0,0
style.css,72,css,3cc5b37a,Jacquelyn Garcia,2025-04-11,21:54:46,-07:00,2025-04-11T21:54:46-07:00,0,0
style.css,73,css,3cc5b37a,Jacquelyn Garcia,2025-04-11,21:54:46,-07:00,2025-04-11T21:54:46-07:00,0,6
style.css,74,css,3cc5b37a,Jacquelyn Garcia,2025-04-11,21:54:46,-07:00,2025-04-11T21:54:46-07:00,0,13
style.css,75,css,3cc5b37a,Jacquelyn Garcia,2025-04-11,21:54:46,-07:00,2025-04-11T21:54:46-07:00,0,30
style.css,76,css,3cc5b37a,Jacquelyn Garcia,2025-04-11,21:54:46,-07:00,2025-04-11T21:54:46-07:00,0,19
style.css,77,css,3cc5b37a,Jacquelyn Garcia,2025-04-11,21:54:46,-07:00,2025-04-11T21:54:46-07:00,0,0
style.css,78,css,3cc5b37a,Jacquelyn Garcia,2025-04-11,21:54:46,-07:00,2025-04-11T21:54:46-07:00,0,0
